genre,age_group,popularity,producer
Action,26-35,1271,Original
Drama,26-35,154,Manga
Comedy,26-35,339,Manga
Action,26-35,23,Manga
Action,26-35,681,Manga
Action,26-35,291,Manga
Action,26-35,667,Manga
Action,26-35,115,Light novel
Mystery,26-35,299,Manga
Action,26-35,575,Manga
Action,26-35,60,Manga
Harem,26-35,344,Visual novel
Comedy,26-35,471,Manga
Romance,26-35,44,Light novel
Mystery,26-35,831,Light novel
Adventure,26-35,233,Manga
Action,26-35,156,Original
Action,26-35,373,Visual novel
Sci-Fi,26-35,220,Manga
Drama,26-35,384,Manga
Action,26-35,432,Light novel
Comedy,26-35,129,Light novel
Action,26-35,228,Light novel
Action,26-35,487,Visual novel
Action,26-35,19,Manga
Action,26-35,213,Manga
Action,26-35,30,Light novel
Action,26-35,540,Manga
Action,26-35,53,Manga
Action,26-35,245,Light novel
Mystery,26-35,176,Novel
Action,26-35,32,Manga
Action,26-35,738,Manga
Comedy,26-35,143,Manga
Comedy,26-35,234,4-koma manga
Action,26-35,129,Light novel
Action,26-35,294,Light novel
Thriller,26-35,8,Visual novel
Action,26-35,14,Manga
Action,26-35,43,Novel
Action,26-35,12,Manga
Ecchi,26-35,101,Light novel
Action,26-35,49,Original
Action,26-35,35,Manga
Comedy,26-35,56,Light novel
Action,26-35,164,Manga
Action,26-35,437,Manga
Action,26-35,81,Novel
Action,26-35,3,Light novel
Action,26-35,563,Manga
Action,26-35,1082,Manga
Comedy,26-35,302,Light novel
Action,26-35,157,Manga
Action,26-35,94,Manga
Action,26-35,121,Original
Action,26-35,91,Manga
Action,26-35,1186,Game
Comedy,26-35,104,Light novel
Comedy,26-35,51,Light novel
Action,26-35,1004,Original
Comedy,26-35,286,Light novel
Action,26-35,2,Manga
Action,26-35,410,Light novel
Comedy,26-35,980,Light novel
Slice of Life,26-35,75,Light novel
Action,26-35,28,Original
Game,26-35,11,Light novel
Action,26-35,15,Manga
Action,26-35,306,Game
Action,26-35,25,Manga
Action,26-35,52,Manga
Action,26-35,142,Manga
Action,26-35,46,Manga
Action,26-35,83,Manga
Action,26-35,62,Light novel
Action,26-35,200,Manga
Drama,26-35,72,Original
Comedy,26-35,654,Manga
Slice of Life,26-35,126,Web manga
Action,26-35,5,Web manga
Psychological,26-35,36,Light novel
Action,26-35,27,Manga
Action,26-35,331,Manga
Action,26-35,544,Manga
Action,26-35,57,Manga
Action,26-35,438,Original
Action,26-35,138,Manga
Action,26-35,582,Manga
Action,26-35,187,Light novel
Action,26-35,365,Light novel
Action,26-35,986,Original
Adventure,26-35,1458,Original
Action,26-35,985,Manga
Action,26-35,1756,Manga
Action,26-35,1339,Original
Mystery,26-35,2073,Manga
Action,26-35,505,Manga
Action,26-35,1316,Original
Comedy,26-35,1154,Light novel
Action,26-35,204,Manga
Comedy,26-35,2301,Manga
Ecchi,26-35,832,Manga
Action,26-35,726,Game
Sci-Fi,26-35,3726,Original
Action,26-35,1465,Original
Action,26-35,1597,Manga
Action,26-35,1535,Manga
Action,26-35,1697,Manga
Adventure,26-35,1586,Manga
Action,26-35,70,Manga
Adventure,26-35,1421,Original
Action,26-35,770,Visual novel
Comedy,26-35,1455,Light novel
Action,26-35,1491,Manga
Action,26-35,1059,Light novel
Action,26-35,666,Manga
Action,26-35,371,Game
Action,26-35,630,Novel
Action,26-35,1496,Visual novel
Comedy,26-35,2237,Manga
Adventure,26-35,100,Light novel
Comedy,26-35,1185,Manga
Sci-Fi,26-35,186,Manga
Action,26-35,841,Original
Action,26-35,755,Manga
Sci-Fi,26-35,860,Original
Action,26-35,636,Light novel
Adventure,26-35,1776,Game
Action,26-35,764,Game
Action,26-35,552,Manga
Comedy,26-35,716,Original
Action,26-35,1684,Light novel
Action,26-35,448,Light novel
Action,26-35,1152,Manga
Mystery,26-35,445,Original
Action,26-35,92,Light novel
Action,26-35,66,Manga
Action,26-35,278,Manga
Action,26-35,415,Light novel
Comedy,26-35,395,Visual novel
Comedy,26-35,935,Visual novel
Action,26-35,678,Manga
Adventure,26-35,99,Manga
Adventure,26-35,1203,Manga
Comedy,26-35,801,Manga
Horror,26-35,608,Manga
Action,26-35,1530,Original
Action,26-35,2407,Manga
Comedy,26-35,674,Manga
Action,26-35,1154,Manga
Action,26-35,946,Manga
Comedy,26-35,1395,Manga
Action,26-35,94,Light novel
Slice of Life,26-35,402,Visual novel
Action,26-35,475,Manga
Adventure,26-35,1118,Manga
Action,26-35,254,Light novel
Comedy,26-35,1328,Manga
Action,26-35,1552,Light novel
Action,26-35,206,Light novel
Harem,26-35,1122,Light novel
Comedy,26-35,2143,Manga
Adventure,26-35,2113,Game
Harem,26-35,130,Manga
Action,26-35,1611,Manga
Action,26-35,250,Light novel
Comedy,26-35,1859,Manga
Comedy,26-35,269,Manga
Action,26-35,993,Manga
Action,26-35,1313,Other
Adventure,26-35,941,Game
Harem,26-35,616,Manga
Action,26-35,969,Manga
Comedy,26-35,971,Light novel
Action,26-35,565,Manga
Comedy,26-35,862,Manga
Action,26-35,498,Manga
Harem,26-35,645,Visual novel
Action,26-35,220,Manga
Harem,26-35,462,Manga
Action,26-35,490,Light novel
Harem,26-35,224,Manga
Comedy,26-35,408,Manga
Action,26-35,1966,Manga
Action,26-35,1533,Game
Action,26-35,497,Manga
Action,26-35,324,Light novel
Action,26-35,167,Light novel
Sci-Fi,26-35,406,Light novel
Action,26-35,605,Original
Action,26-35,886,Manga
Action,26-35,1411,Original
Action,26-35,388,Light novel
Action,26-35,1236,Light novel
Action,26-35,635,Visual novel
Action,26-35,339,Light novel
Action,26-35,741,Original
Action,26-35,64,Novel
Comedy,26-35,495,Light novel
Action,26-35,592,Light novel
Slice of Life,26-35,610,4-koma manga
Adventure,26-35,1110,Manga
Harem,26-35,789,Visual novel
Action,26-35,841,Original
Action,26-35,525,Manga
Action,26-35,7,Original
Action,26-35,712,Light novel
